zipcode,median,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15,bb_1955,basement,year,month,condition_type,renovation,view_type,seasons,pay
98001,260000.0,7895500070,2015-02-13,240000.0,4,1,1220,8075,1,0,0,2,7,890,330,1969,0,47.3341,-122.282,1290,7800,no,yes,2015,2,bad,no,null,winter,yes
98001,260000.0,5706600170,2015-03-11,204900.0,3,2,1390,8245,1,0,0,2,7,1390,0,1984,0,47.2669,-122.254,1260,8245,no,no,2015,3,bad,no,null,spring,yes
98001,260000.0,3599600276,2014-11-06,215500.0,3,2,1380,9000,2,0,0,2,7,1380,0,1946,1982,47.2613,-122.248,1460,9732,yes,no,2014,11,bad,yes,null,autumn,yes
98003,266500.0,5152600090,2014-07-08,235500.0,5,2,2340,13713,1,0,0,2,8,1670,670,1967,0,47.3307,-122.324,2080,11000,no,yes,2014,7,bad,no,null,summer,yes
98004,1150000.0,2425700022,2014-09-29,425000.0,4,1,1730,11890,1,0,0,2,7,980,750,1955,0,47.5979,-122.194,2100,12325,no,yes,2014,9,bad,no,null,autumn,yes
98005,765475.0,6205500030,2014-11-03,480000.0,4,2,2180,10575,1,0,0,2,6,1730,450,1950,0,47.589,-122.177,2180,12010,yes,yes,2014,11,bad,no,null,autumn,yes
98005,765475.0,324059112,2015-03-25,675500.0,4,2,2060,21344,1,0,0,2,8,1460,600,1978,0,47.5934,-122.154,2060,16088,no,yes,2015,3,bad,no,null,spring,yes
98006,760000.0,5175800060,2014-06-23,365000.0,4,2,1940,25600,1,0,0,1,8,1940,0,1962,0,47.5722,-122.129,2000,10071,no,no,2014,6,bad,no,null,summer,yes
98006,760000.0,6072760390,2015-04-07,547500.0,4,2,2610,7254,1,0,0,2,8,1610,1000,1975,0,47.5618,-122.176,2250,7407,no,yes,2015,4,bad,no,null,spring,yes
98006,760000.0,2206900065,2015-05-01,380000.0,3,1,1430,11173,1,0,0,1,7,1430,0,1955,0,47.5734,-122.153,1520,11659,no,no,2015,5,bad,no,null,spring,yes
98011,470000.0,1726059053,2014-09-16,270000.0,2,1,1380,209959,1,0,0,1,6,1380,0,1954,0,47.7461,-122.195,3130,19868,yes,no,2014,9,bad,no,null,autumn,yes
98014,415000.0,8658300340,2014-05-23,80000.0,1,0,430,5050,1,0,0,2,4,430,0,1912,0,47.6499,-121.909,1200,7500,yes,no,2014,5,bad,no,null,spring,yes
98014,415000.0,3626079032,2014-07-30,396400.0,4,2,2120,215186,2,0,0,2,7,2120,0,1983,0,47.701,-121.857,2000,215186,no,no,2014,7,bad,no,null,summer,yes
98014,415000.0,3326079016,2015-05-04,190000.0,2,1,710,1164794,1,0,0,2,5,710,0,1915,0,47.6888,-121.909,1680,16730,yes,no,2015,5,bad,no,null,spring,yes
98019,401250.0,3821200050,2014-06-04,119500.0,3,1,1170,11000,1,0,0,2,6,1170,0,1980,0,47.7346,-121.983,1590,10894,no,no,2014,6,bad,no,null,summer,yes
98019,401250.0,2126079124,2015-04-02,375000.0,4,2,1790,61419,2,0,2,2,7,1790,0,1988,0,47.7216,-121.907,1790,62290,no,no,2015,4,bad,no,good,spring,yes
98023,268750.0,9264901680,2015-03-23,188000.0,3,1,1660,7350,1,0,0,2,8,1660,0,1979,0,47.3118,-122.337,1840,7673,no,no,2015,3,bad,no,null,spring,yes
98023,268750.0,5560000650,2014-12-02,135000.0,3,1,1520,8450,1,0,0,2,6,1120,400,1961,0,47.328,-122.337,1320,8450,no,yes,2014,12,bad,no,null,winter,yes
98023,268750.0,3089000005,2014-07-24,150000.0,2,1,850,54000,1,0,0,1,4,850,0,1950,0,47.2959,-122.377,1550,14440,yes,no,2014,7,bad,no,null,summer,yes
98023,268750.0,3279000420,2015-01-15,233000.0,3,1,1460,7800,1,0,0,2,7,1040,420,1979,0,47.3035,-122.382,1310,7865,no,yes,2015,1,bad,no,null,winter,yes
